
Name		 Rang	 Platz	 Koord	 Beitritt	 Online	 Funktion
W4R_MaChINE		 Gründer	 77	[1:116:4]	 27.06.2014	 Off	
baal the dark		 Imperator	 101	[2:31:6]	 27.06.2014	 On	
SuaveTheDon		 -XO-	 110	[9:463:4]	 27.06.2014	 On	
Mursana		 Imperator	 112	[1:222:6]	 27.06.2014	 On	
pArmEsAnEXpErtE		 Imperator	 169	[1:421:9]	 27.06.2014	 On	
dywk		 Imperator	 229	[1:27:12]	 27.06.2014	 On	
trendsetter		 Probezeit	 289	[3:114:6]	 01.07.2014	 On	
blacklord999		 Imperator	 372	[2:20:10]	 27.06.2014	 30 Min.	
Bombertina		 Imperator	 398	[2:170:8]	 27.06.2014	 On	
varus		 Imperator	 433	[3:250:8]	 27.06.2014	 15 Min.	
reb0RN		 Imperator	 532	[8:129:9]	 27.06.2014	 42 Min.	
tomek		 Probezeit	 584	[2:181:6]	 02.07.2014	 On	
ARMAGEDON		 Imperator	 608	[1:345:6]	 27.06.2014	 16 Min.	
g4f		 Imperator	 639	[1:272:4]	 27.06.2014	 On	
smokingz		 Imperator	 662	[1:376:4]	 27.06.2014	 22 Min.	
Steveboo		 Probezeit	 703	[2:373:4]	 01.07.2014	 On	
Wrong Destiny		 Probezeit	 936	[1:50:6]	 28.06.2014	 34 Min.	
Starchild		 Imperator	 1089	[1:28:7]	 27.06.2014	 On	
KrueMelChen		 Imperator	 1121	[2:23:4]	 27.06.2014	 Off	


Name		 Rang	 Platz	 Koord	 Beitritt	 Online	 Funktion
W4R_MaChINE		 Gründer	 76	[1:116:4]	 27.06.2014	 On	
baal the dark		 Imperator	 105	[2:31:6]	 27.06.2014	 On	
Mursana		 Imperator	 109	[1:222:6]	 27.06.2014	 On	
SuaveTheDon		 -XO-	 111	[9:463:4]	 27.06.2014	 On	
pArmEsAnEXpErtE		 Imperator	 173	[1:421:9]	 27.06.2014	 On	
dywk		 Imperator	 222	[1:27:12]	 27.06.2014	 On	
trendsetter		 Probezeit	 272	[3:114:6]	 01.07.2014	 On	
blacklord999		 Imperator	 381	[2:20:10]	 27.06.2014	 20 Min.	
Bombertina		 Imperator	 416	[2:170:8]	 27.06.2014	 37 Min.	
varus		 Imperator	 418	[3:250:8]	 27.06.2014	 On	
reb0RN		 Imperator	 511	[8:129:9]	 27.06.2014	 31 Min.	
tomek		 Probezeit	 585	[2:181:6]	 02.07.2014	 On	
ARMAGEDON		 Imperator	 594	[1:345:6]	 27.06.2014	 On	
g4f		 Imperator	 608	[1:272:4]	 27.06.2014	 On	
Killsort		 Probezeit	 611	[1:82:12]	 02.07.2014	 58 Min.	
smokingz		 Imperator	 677	[1:376:4]	 27.06.2014	 On	
Steveboo		 Probezeit	 717	[2:373:4]	 01.07.2014	 On	
Wrong Destiny		 Imperator	 941	[1:50:6]	 28.06.2014	 On	
Starchild		 Imperator	 1087	[1:28:7]	 27.06.2014	 On	
KrueMelChen		 Imperator	 1144	[2:23:4]	 27.06.2014	 Off	

W4R_MaChINE		 Gründer	 81	[1:116:4]	 27.06.2014	 On	
Mursana		 Imperator	 103	[1:222:6]	 27.06.2014	 On	
baal the dark		 Imperator	 110	[2:31:6]	 27.06.2014	 Off	
SuaveTheDon		 -XO-	 125	[9:463:4]	 27.06.2014	 Off	
pArmEsAnEXpErtE		 Imperator	 174	[1:421:9]	 27.06.2014	 Off	
dywk		 Imperator	 230	[8:130:12]	 27.06.2014	 On	
trendsetter		 Probezeit	 259	[3:114:6]	 01.07.2014	 On	
blindi		 Probezeit	 315	[1:363:6]	 03.07.2014	 On	
blacklord999		 Imperator	 363	[2:20:10]	 27.06.2014	 On	
varus		 Imperator	 421	[3:250:8]	 27.06.2014	 On	
Bombertina		 Imperator	 454	[2:170:8]	 27.06.2014	 On	
ARMAGEDON		 Imperator	 543	[1:345:6]	 27.06.2014	 On	
reb0RN		 Imperator	 557	[8:129:9]	 27.06.2014	 On	
g4f		 Imperator	 585	[1:272:4]	 27.06.2014	 49 Min.	
tomek		 Probezeit	 592	[2:181:6]	 02.07.2014	 On	
Killsort		 Probezeit	 611	[1:82:12]	 02.07.2014	 21 Min.	
smokingz		 Imperator	 693	[1:376:4]	 27.06.2014	 Off	
Steveboo		 Probezeit	 749	[2:373:4]	 01.07.2014	 On	
Philanthrop		 Probezeit	 797	[1:363:4]	 03.07.2014	 On	
Wrong Destiny		 Imperator	 889	[1:50:6]	 28.06.2014	 On	
Starchild		 Imperator	 1054	[1:28:7]	 27.06.2014	 Off	
KrueMelChen		 Imperator	 1205	[2:23:4]	 27.06.2014	 Off	
Zylon		 Probezeit	 1210	[3:113:4]	 02.07.2014	 On	

Name		 Rang	 Platz	 Koord	 Beitritt	 Online	 Funktion
W4R_MaChINE		 Gründer	 76	[1:116:4]	 27.06.2014	 On	
baal the dark		 Imperator	 94	[2:31:6]	 27.06.2014	 On	
Mursana		 Imperator	 111	[1:222:6]	 27.06.2014	 On	
SuaveTheDon		 -XO-	 131	[9:463:4]	 27.06.2014	 On	
pArmEsAnEXpErtE		 Imperator	 179	[1:421:9]	 27.06.2014	 On	
dywk		 Imperator	 185	[8:130:12]	 27.06.2014	 On	
trendsetter		 Probezeit	 203	[3:114:6]	 01.07.2014	 On	
blindi		 Probezeit	 314	[1:363:6]	 03.07.2014	 On	
varus		 Imperator	 417	[3:250:8]	 27.06.2014	 On	
blacklord999		 Imperator	 422	[2:20:10]	 27.06.2014	 Off	
Bombertina		 Imperator	 480	[2:170:8]	 27.06.2014	 15 Min.	
reb0RN		 Imperator	 488	[8:129:9]	 27.06.2014	 On	
ARMAGEDON		 Imperator	 520	[1:345:6]	 27.06.2014	 46 Min.	
Killsort		 Probezeit	 589	[1:82:12]	 02.07.2014	 On	
tomek		 Probezeit	 612	[2:181:6]	 02.07.2014	 22 Min.	
g4f		 Imperator	 618	[1:272:4]	 27.06.2014	 22 Min.	
smokingz		 Imperator	 684	[1:376:4]	 27.06.2014	 Off	
Steveboo		 Probezeit	 738	[2:373:4]	 01.07.2014	 On	
Philanthrop		 Probezeit	 776	[1:363:4]	 03.07.2014	 On	
Wrong Destiny		 Imperator	 907	[1:50:6]	 28.06.2014	 27 Min.	
Starchild		 Imperator	 1041	[1:28:7]	 27.06.2014	 28 Min.	
Zylon		 Probezeit	 1203	[3:113:4]	 02.07.2014	 27 Min.	
KrueMelChen		 Imperator	 1246	[2:23:4]	 27.06.2014	 Off	


Name		 Rang	 Platz	 Koord	 Beitritt	 Online	 Funktion
W4R_MaChINE		 Gründer	 76	[1:116:4]	 27.06.2014	 On	
Mursana		 Imperator	 92	[1:222:6]	 27.06.2014	 On	
baal the dark		 Imperator	 98	[2:31:6]	 27.06.2014	 Off	
SuaveTheDon		 -XO-	 145	[9:463:4]	 27.06.2014	 Off	
dywk		 Imperator	 187	[8:130:12]	 27.06.2014	 Off	
pArmEsAnEXpErtE		 Imperator	 193	[1:421:9]	 27.06.2014	 Off	
trendsetter		 Probezeit	 197	[3:114:6]	 01.07.2014	 On	
blindi		 Probezeit	 311	[1:363:6]	 03.07.2014	 Off	
varus		 Imperator	 404	[3:250:8]	 27.06.2014	 Off	
blacklord999		 Imperator	 455	[2:20:10]	 27.06.2014	 Off	
reb0RN		 Imperator	 493	[8:129:9]	 27.06.2014	 On	
Bombertina		 Imperator	 499	[2:170:8]	 27.06.2014	 On	
ARMAGEDON		 Imperator	 529	[1:345:6]	 27.06.2014	 27 Min.	
Killsort		 Probezeit	 611	[1:82:12]	 02.07.2014	 25 Min.	
g4f		 Imperator	 632	[1:272:4]	 27.06.2014	 Off	
tomek		 Probezeit	 639	[2:181:6]	 02.07.2014	 Off	
Steveboo		 Probezeit	 651	[2:373:4]	 01.07.2014	 On	
smokingz		 Imperator	 673	[1:376:4]	 27.06.2014	 Off	
Philanthrop		 Probezeit	 779	[1:363:4]	 03.07.2014	 Off	
Wrong Destiny		 Imperator	 897	[1:50:6]	 28.06.2014	 On	
Starchild		 Imperator	 1075	[1:28:7]	 27.06.2014	 Off	
Zylon		 Probezeit	 1228	[3:113:4]	 02.07.2014	 Off	
KrueMelChen		 Imperator	 1236	[2:23:4]	 27.06.2014	 Off	

Name		 Rang	 Platz	 Koord	 Beitritt	 Online	 Funktion
W4R_MaChINE		 Gründer	 76	[1:116:4]	 27.06.2014	 On	
Mursana		 Imperator	 94	[1:222:6]	 27.06.2014	 On	
baal the dark		 Imperator	 99	[2:31:6]	 27.06.2014	 On	
SuaveTheDon		 -XO-	 140	[9:463:4]	 27.06.2014	 On	
pArmEsAnEXpErtE		 Imperator	 163	[1:421:9]	 27.06.2014	 On	
dywk		 Imperator	 189	[8:130:12]	 27.06.2014	 On	
trendsetter		 Probezeit	 199	[3:114:6]	 01.07.2014	 On	
blindi		 Probezeit	 329	[1:363:6]	 03.07.2014	 Off	
